Day,Result,Benefit,Commission,Total
1,0,0,0,"10000,00"
1,"0,0047","47,00","0,04","10046,96"
1,"0,0031","31,15","0,02","10078,09"
1,"-0,0011","-11,09","0,01","10066,99"
2,"0,0022","22,15","0,02","10089,12"
2,"0,0026","26,23","0,02","10115,34"
2,"0,0016","16,18","0,01","10131,51"
2,"0,0022","22,29","0,02","10153,78"
2,"-0,0049","-49,75","0,04","10103,99"
2,"0,0046","46,48","0,03","10150,43"
3,"-0,0008","-8,12","0,01","10142,31"
3,"0,0006","6,09","0,00","10148,39"
3,"0,0057","57,85","0,04","10206,19"
3,"0,0044","44,91","0,03","10251,06"
3,"-0,0066","-67,66","0,05","10183,36"
4,"-0,0019","-19,35","0,01","10163,99"
4,"0,0033","33,54","0,03","10197,51"
4,"-0,0028","-28,55","0,02","10168,93"
4,"0,0033","33,56","0,03","10202,47"
4,"-0,0028","-28,57","0,02","10173,88"
4,"0,0029","29,50","0,02","10203,36"
4,"0,0020","20,41","0,02","10223,75"
4,"-0,0015","-15,34","0,01","10208,40"
4,"0,0023","23,48","0,02","10231,87"
4,"-0,0026","-26,60","0,02","10205,24"
5,"-0,0080","-81,64","0,06","10123,54"
5,"0,0052","52,64","0,04","10176,14"
5,"-0,0025","-25,44","0,02","10150,68"
5,"-0,0032","-32,48","0,02","10118,18"
5,"0,0011","11,13","0,01","10129,30"
5,"0,0011","11,14","0,01","10140,43"
5,"0,0007","7,10","0,01","10147,53"
5,"-0,0007","-7,10","0,01","10140,42"
6,"-0,0011","-11,15","0,01","10129,25"
6,"0,0049","49,63","0,04","10178,85"
6,"0,0018","18,32","0,01","10197,16"
6,"-0,0021","-21,41","0,02","10175,73"
7,"0,0035","35,62","0,03","10211,32"
7,"-0,0008","-8,17","0,01","10203,14"
7,"0,0011","11,22","0,01","10214,36"
7,"0,0014","14,30","0,01","10228,65"
7,"0,0016","16,37","0,01","10245,00"
7,"-0,0018","-18,44","0,01","10226,55"
7,"-0,0017","-17,39","0,01","10209,15"
7,"0,0019","19,40","0,01","10228,53"
7,"0,0030","30,69","0,02","10259,19"
7,"-0,0016","-16,41","0,01","10242,77"
8,"-0,0010","-10,24","0,01","10232,51"
8,"0,0017","17,40","0,01","10249,90"
