Entity,Year,Coal (EJ),Coal (MT),Oil (MT),Gas (EJ),Gas (MT)
World,2000,99,3368,3568,86,1523
World,2001,100,3421,3601,88,1544
World,2002,104,3555,3629,90,1590
World,2003,113,3869,3712,93,1634
World,2004,121,4135,3851,96,1697
World,2005,130,4443,3899,99,1743
World,2006,137,4676,3944,101,1788
World,2007,145,4941,3992,106,1861
World,2008,147,5008,3959,108,1906
World,2009,145,4932,3880,106,1867
World,2010,151,5159,3998,114,2006
World,2011,158,5407,4036,117,2055
World,2012,159,5428,4087,120,2108
World,2013,162,5527,4129,122,2143
World,2014,162,5522,4154,122,2158
World,2015,158,5386,4226,125,2207
World,2016,156,5306,4312,128,2259
World,2017,156,5326,4362,132,2322
World,2018,159,5418,4409,139,2445
World,2019,158,5386,4445,141,2494
Europe,2000,17,565,775,20,354
Europe,2001,16,560,788,21,361
Europe,2002,16,559,785,21,363
Europe,2003,17,582,790,21,379
Europe,2004,17,572,798,22,388
Europe,2005,16,559,803,23,398
Europe,2006,17,585,806,22,395
Europe,2007,17,592,789,22,392
Europe,2008,16,559,782,23,397
Europe,2009,15,501,742,21,366
Europe,2010,15,523,733,22,395
Europe,2011,16,545,714,21,368
Europe,2012,16,558,690,20,359
Europe,2013,16,539,677,20,352
Europe,2014,15,506,662,18,317
Europe,2015,14,485,679,18,323
Europe,2016,14,467,696,19,341
Europe,2017,13,451,708,20,355
Europe,2018,13,441,705,20,348
Europe,2019,11,387,703,20,352
Spain,2000,1,30,70,1,11
Spain,2001,1,27,73,1,12
Spain,2002,1,31,74,1,14
Spain,2003,1,29,76,1,16
Spain,2004,1,30,78,1,19
Spain,2005,1,29,79,1,22
Spain,2006,1,26,80,1,23
Spain,2007,1,29,80,1,23
Spain,2008,1,19,77,1,26
Spain,2009,0,13,72,1,23
Spain,2010,0,10,70,1,23
Spain,2011,1,18,67,1,21
Spain,2012,1,22,63,1,21
Spain,2013,0,16,59,1,19
Spain,2014,0,17,58,1,17
Spain,2015,1,20,60,1,18
Spain,2016,0,15,62,1,18
Spain,2017,1,19,63,1,20
Spain,2018,0,16,64,1,20
Spain,2019,0,7,64,1,23
Barcelona,2000,260,371,11639,3937,3169
Barcelona,2001,131,188,12099,4248,3419
Barcelona,2002,278,398,12399,4913,3955
Barcelona,2003,179,256,12672,5663,4559
Barcelona,2004,267,382,13075,6208,4998
Barcelona,2005,273,390,13206,6730,5418
Barcelona,2006,302,431,12900,6110,4918
Barcelona,2007,267,382,13262,6571,5290
Barcelona,2008,223,318,11931,6515,5244
Barcelona,2009,137,195,11896,5958,4796
Barcelona,2010,169,242,12082,6086,4900
Barcelona,2011,42,60,11491,5955,4794
Barcelona,2012,33,47,10481,5930,4773
Barcelona,2013,32,45,9803,5549,4467
Barcelona,2014,32,46,10441,4934,3972
Barcelona,2015,31,44,11180,5261,4235
Barcelona,2016,30,43,11296,5212,4195
Barcelona,2017,37,52,11513,5617,4521
Barcelona,2018,34,48,11743,5526,4448
Barcelona,2019,35,49,11673,5822,4687
