"pm10","month"
22,"apr_20"
18,"apr_20"
18,"apr_20"
15,"apr_20"
13,"apr_20"
15,"apr_20"
17,"apr_20"
15,"apr_20"
18,"apr_20"
21,"apr_20"
22,"apr_20"
19,"apr_20"
13,"apr_20"
17,"apr_20"
25,"apr_20"
30,"apr_20"
26,"apr_20"
25,"apr_20"
9,"apr_20"
7,"apr_20"
4,"apr_20"
16,"apr_20"
18,"apr_20"
19,"apr_20"
15,"apr_20"
13,"apr_20"
17,"apr_20"
12,"apr_20"
16,"apr_20"
19,"apr_20"
18,"apr_20"
15,"apr_20"
19,"apr_20"
17,"apr_20"
15,"apr_20"
16,"apr_20"
18,"apr_20"
17,"apr_20"
19,"apr_20"
23,"apr_20"
22,"apr_20"
20,"apr_20"
12,"apr_20"
15,"apr_20"
25,"apr_20"
30,"apr_20"
26,"apr_20"
26,"apr_20"
8,"apr_20"
8,"apr_20"
6,"apr_20"
12,"apr_20"
17,"apr_20"
19,"apr_20"
15,"apr_20"
12,"apr_20"
16,"apr_20"
11,"apr_20"
16,"apr_20"
19,"apr_20"
19,"apr_20"
14,"apr_20"
18,"apr_20"
17,"apr_20"
15,"apr_20"
15,"apr_20"
18,"apr_20"
15,"apr_20"
18,"apr_20"
22,"apr_20"
21,"apr_20"
20,"apr_20"
11,"apr_20"
14,"apr_20"
26,"apr_20"
33,"apr_20"
28,"apr_20"
26,"apr_20"
9,"apr_20"
8,"apr_20"
5,"apr_20"
12,"apr_20"
17,"apr_20"
20,"apr_20"
17,"apr_20"
12,"apr_20"
19,"apr_20"
11,"apr_20"
14,"apr_20"
20,"apr_20"
12,"apr_20"
9,"apr_20"
11,"apr_20"
11,"apr_20"
10,"apr_20"
10,"apr_20"
12,"apr_20"
12,"apr_20"
14,"apr_20"
16,"apr_20"
17,"apr_20"
14,"apr_20"
8,"apr_20"
9,"apr_20"
19,"apr_20"
24,"apr_20"
20,"apr_20"
20,"apr_20"
4,"apr_20"
3,"apr_20"
2,"apr_20"
7,"apr_20"
12,"apr_20"
14,"apr_20"
11,"apr_20"
8,"apr_20"
9,"apr_20"
8,"apr_20"
10,"apr_20"
10,"apr_20"
14,"apr_20"
11,"apr_20"
13,"apr_20"
13,"apr_20"
12,"apr_20"
12,"apr_20"
14,"apr_20"
12,"apr_20"
18,"apr_20"
17,"apr_20"
18,"apr_20"
16,"apr_20"
9,"apr_20"
11,"apr_20"
20,"apr_20"
26,"apr_20"
21,"apr_20"
23,"apr_20"
7,"apr_20"
7,"apr_20"
4,"apr_20"
10,"apr_20"
14,"apr_20"
15,"apr_20"
16,"apr_20"
11,"apr_20"
12,"apr_20"
10,"apr_20"
34,"apr_20"
11,"apr_20"
9,"apr_20"
11,"apr_20"
13,"apr_20"
13,"apr_20"
13,"apr_20"
13,"apr_20"
13,"apr_20"
12,"apr_20"
14,"apr_20"
18,"apr_20"
18,"apr_20"
17,"apr_20"
9,"apr_20"
9,"apr_20"
17,"apr_20"
22,"apr_20"
17,"apr_20"
17,"apr_20"
3,"apr_20"
5,"apr_20"
2,"apr_20"
8,"apr_20"
12,"apr_20"
11,"apr_20"
NA,"apr_20"
11,"apr_20"
10,"apr_20"
9,"apr_20"
11,"apr_20"
13,"apr_20"
