"pm10","month"
19,"dec_20"
20,"dec_20"
18,"dec_20"
24,"dec_20"
17,"dec_20"
9,"dec_20"
19,"dec_20"
9,"dec_20"
14,"dec_20"
18,"dec_20"
25,"dec_20"
10,"dec_20"
19,"dec_20"
43,"dec_20"
37,"dec_20"
35,"dec_20"
33,"dec_20"
25,"dec_20"
26,"dec_20"
16,"dec_20"
24,"dec_20"
29,"dec_20"
30,"dec_20"
23,"dec_20"
11,"dec_20"
12,"dec_20"
13,"dec_20"
23,"dec_20"
15,"dec_20"
15,"dec_20"
18,"dec_20"
15,"dec_20"
16,"dec_20"
14,"dec_20"
18,"dec_20"
11,"dec_20"
8,"dec_20"
13,"dec_20"
10,"dec_20"
14,"dec_20"
20,"dec_20"
23,"dec_20"
12,"dec_20"
16,"dec_20"
51,"dec_20"
33,"dec_20"
27,"dec_20"
33,"dec_20"
29,"dec_20"
25,"dec_20"
14,"dec_20"
19,"dec_20"
23,"dec_20"
28,"dec_20"
20,"dec_20"
6,"dec_20"
9,"dec_20"
8,"dec_20"
15,"dec_20"
11,"dec_20"
13,"dec_20"
12,"dec_20"
16,"dec_20"
17,"dec_20"
16,"dec_20"
14,"dec_20"
12,"dec_20"
11,"dec_20"
13,"dec_20"
8,"dec_20"
13,"dec_20"
16,"dec_20"
18,"dec_20"
7,"dec_20"
11,"dec_20"
44,"dec_20"
24,"dec_20"
20,"dec_20"
26,"dec_20"
28,"dec_20"
21,"dec_20"
13,"dec_20"
17,"dec_20"
26,"dec_20"
27,"dec_20"
17,"dec_20"
8,"dec_20"
11,"dec_20"
8,"dec_20"
16,"dec_20"
13,"dec_20"
13,"dec_20"
10,"dec_20"
9,"dec_20"
10,"dec_20"
8,"dec_20"
6,"dec_20"
7,"dec_20"
5,"dec_20"
6,"dec_20"
6,"dec_20"
7,"dec_20"
8,"dec_20"
10,"dec_20"
4,"dec_20"
6,"dec_20"
33,"dec_20"
15,"dec_20"
12,"dec_20"
19,"dec_20"
18,"dec_20"
17,"dec_20"
9,"dec_20"
9,"dec_20"
16,"dec_20"
19,"dec_20"
13,"dec_20"
3,"dec_20"
4,"dec_20"
3,"dec_20"
8,"dec_20"
6,"dec_20"
6,"dec_20"
4,"dec_20"
10,"dec_20"
10,"dec_20"
11,"dec_20"
13,"dec_20"
6,"dec_20"
5,"dec_20"
8,"dec_20"
6,"dec_20"
8,"dec_20"
10,"dec_20"
12,"dec_20"
7,"dec_20"
10,"dec_20"
35,"dec_20"
15,"dec_20"
16,"dec_20"
20,"dec_20"
20,"dec_20"
17,"dec_20"
9,"dec_20"
10,"dec_20"
18,"dec_20"
21,"dec_20"
10,"dec_20"
4,"dec_20"
6,"dec_20"
5,"dec_20"
9,"dec_20"
7,"dec_20"
7,"dec_20"
7,"dec_20"
12,"dec_20"
8,"dec_20"
6,"dec_20"
6,"dec_20"
7,"dec_20"
6,"dec_20"
6,"dec_20"
6,"dec_20"
7,"dec_20"
8,"dec_20"
8,"dec_20"
7,"dec_20"
9,"dec_20"
17,"dec_20"
14,"dec_20"
9,"dec_20"
13,"dec_20"
9,"dec_20"
NA,"dec_20"
NA,"dec_20"
11,"dec_20"
9,"dec_20"
13,"dec_20"
12,"dec_20"
6,"dec_20"
6,"dec_20"
6,"dec_20"
9,"dec_20"
7,"dec_20"
8,"dec_20"
7,"dec_20"
