"pm10","month"
22,"feb_20"
20,"feb_20"
36,"feb_20"
48,"feb_20"
24,"feb_20"
34,"feb_20"
34,"feb_20"
28,"feb_20"
31,"feb_20"
29,"feb_20"
27,"feb_20"
19,"feb_20"
29,"feb_20"
39,"feb_20"
28,"feb_20"
23,"feb_20"
32,"feb_20"
16,"feb_20"
25,"feb_20"
35,"feb_20"
37,"feb_20"
31,"feb_20"
36,"feb_20"
40,"feb_20"
40,"feb_20"
36,"feb_20"
34,"feb_20"
35,"feb_20"
76,"feb_20"
26,"feb_20"
21,"feb_20"
40,"feb_20"
46,"feb_20"
22,"feb_20"
30,"feb_20"
31,"feb_20"
26,"feb_20"
28,"feb_20"
25,"feb_20"
27,"feb_20"
22,"feb_20"
28,"feb_20"
41,"feb_20"
25,"feb_20"
20,"feb_20"
31,"feb_20"
18,"feb_20"
22,"feb_20"
26,"feb_20"
35,"feb_20"
33,"feb_20"
35,"feb_20"
39,"feb_20"
40,"feb_20"
28,"feb_20"
27,"feb_20"
29,"feb_20"
79,"feb_20"
19,"feb_20"
17,"feb_20"
37,"feb_20"
49,"feb_20"
25,"feb_20"
29,"feb_20"
23,"feb_20"
24,"feb_20"
25,"feb_20"
28,"feb_20"
24,"feb_20"
20,"feb_20"
28,"feb_20"
34,"feb_20"
26,"feb_20"
20,"feb_20"
31,"feb_20"
18,"feb_20"
22,"feb_20"
29,"feb_20"
30,"feb_20"
31,"feb_20"
37,"feb_20"
37,"feb_20"
34,"feb_20"
34,"feb_20"
31,"feb_20"
28,"feb_20"
72,"feb_20"
11,"feb_20"
7,"feb_20"
21,"feb_20"
43,"feb_20"
11,"feb_20"
18,"feb_20"
16,"feb_20"
18,"feb_20"
20,"feb_20"
14,"feb_20"
19,"feb_20"
17,"feb_20"
18,"feb_20"
28,"feb_20"
22,"feb_20"
17,"feb_20"
25,"feb_20"
13,"feb_20"
17,"feb_20"
23,"feb_20"
23,"feb_20"
26,"feb_20"
25,"feb_20"
31,"feb_20"
31,"feb_20"
21,"feb_20"
21,"feb_20"
21,"feb_20"
72,"feb_20"
13,"feb_20"
12,"feb_20"
24,"feb_20"
44,"feb_20"
4,"feb_20"
23,"feb_20"
8,"feb_20"
18,"feb_20"
17,"feb_20"
18,"feb_20"
17,"feb_20"
16,"feb_20"
17,"feb_20"
31,"feb_20"
24,"feb_20"
NA,"feb_20"
18,"feb_20"
14,"feb_20"
9,"feb_20"
12,"feb_20"
1,"feb_20"
13,"feb_20"
20,"feb_20"
23,"feb_20"
34,"feb_20"
26,"feb_20"
18,"feb_20"
17,"feb_20"
61,"feb_20"
10,"feb_20"
9,"feb_20"
20,"feb_20"
35,"feb_20"
10,"feb_20"
17,"feb_20"
13,"feb_20"
17,"feb_20"
20,"feb_20"
11,"feb_20"
14,"feb_20"
7,"feb_20"
16,"feb_20"
21,"feb_20"
22,"feb_20"
22,"feb_20"
25,"feb_20"
10,"feb_20"
13,"feb_20"
15,"feb_20"
19,"feb_20"
23,"feb_20"
19,"feb_20"
22,"feb_20"
26,"feb_20"
14,"feb_20"
19,"feb_20"
16,"feb_20"
61,"feb_20"
