"pm10","month"
16,"jan_20"
21,"jan_20"
19,"jan_20"
18,"jan_20"
13,"jan_20"
23,"jan_20"
30,"jan_20"
33,"jan_20"
32,"jan_20"
16,"jan_20"
14,"jan_20"
20,"jan_20"
25,"jan_20"
33,"jan_20"
38,"jan_20"
34,"jan_20"
30,"jan_20"
17,"jan_20"
17,"jan_20"
19,"jan_20"
37,"jan_20"
56,"jan_20"
68,"jan_20"
94,"jan_20"
32,"jan_20"
19,"jan_20"
26,"jan_20"
28,"jan_20"
36,"jan_20"
18,"jan_20"
21,"jan_20"
21,"jan_20"
20,"jan_20"
17,"jan_20"
22,"jan_20"
26,"jan_20"
37,"jan_20"
28,"jan_20"
17,"jan_20"
14,"jan_20"
19,"jan_20"
13,"jan_20"
29,"jan_20"
41,"jan_20"
37,"jan_20"
27,"jan_20"
14,"jan_20"
14,"jan_20"
15,"jan_20"
28,"jan_20"
51,"jan_20"
52,"jan_20"
104,"jan_20"
21,"jan_20"
17,"jan_20"
32,"jan_20"
26,"jan_20"
40,"jan_20"
18,"jan_20"
20,"jan_20"
22,"jan_20"
20,"jan_20"
18,"jan_20"
19,"jan_20"
31,"jan_20"
29,"jan_20"
25,"jan_20"
15,"jan_20"
13,"jan_20"
17,"jan_20"
19,"jan_20"
21,"jan_20"
25,"jan_20"
28,"jan_20"
25,"jan_20"
15,"jan_20"
11,"jan_20"
14,"jan_20"
27,"jan_20"
48,"jan_20"
51,"jan_20"
100,"jan_20"
18,"jan_20"
17,"jan_20"
26,"jan_20"
19,"jan_20"
31,"jan_20"
18,"jan_20"
16,"jan_20"
16,"jan_20"
14,"jan_20"
10,"jan_20"
16,"jan_20"
16,"jan_20"
19,"jan_20"
18,"jan_20"
10,"jan_20"
9,"jan_20"
12,"jan_20"
10,"jan_20"
14,"jan_20"
19,"jan_20"
22,"jan_20"
12,"jan_20"
11,"jan_20"
9,"jan_20"
10,"jan_20"
14,"jan_20"
39,"jan_20"
52,"jan_20"
97,"jan_20"
14,"jan_20"
9,"jan_20"
17,"jan_20"
9,"jan_20"
11,"jan_20"
16,"jan_20"
20,"jan_20"
34,"jan_20"
14,"jan_20"
13,"jan_20"
4,"jan_20"
20,"jan_20"
43,"jan_20"
16,"jan_20"
9,"jan_20"
10,"jan_20"
16,"jan_20"
12,"jan_20"
17,"jan_20"
25,"jan_20"
27,"jan_20"
16,"jan_20"
12,"jan_20"
16,"jan_20"
25,"jan_20"
19,"jan_20"
42,"jan_20"
32,"jan_20"
NA,"jan_20"
NA,"jan_20"
NA,"jan_20"
NA,"jan_20"
9,"jan_20"
18,"jan_20"
15,"jan_20"
13,"jan_20"
12,"jan_20"
12,"jan_20"
11,"jan_20"
15,"jan_20"
11,"jan_20"
16,"jan_20"
13,"jan_20"
8,"jan_20"
7,"jan_20"
9,"jan_20"
9,"jan_20"
9,"jan_20"
12,"jan_20"
15,"jan_20"
12,"jan_20"
9,"jan_20"
8,"jan_20"
10,"jan_20"
10,"jan_20"
2,"jan_20"
43,"jan_20"
113,"jan_20"
13,"jan_20"
9,"jan_20"
13,"jan_20"
8,"jan_20"
9,"jan_20"
