"pm10","month"
27,"jul_20"
30,"jul_20"
22,"jul_20"
20,"jul_20"
23,"jul_20"
25,"jul_20"
24,"jul_20"
28,"jul_20"
25,"jul_20"
29,"jul_20"
33,"jul_20"
23,"jul_20"
25,"jul_20"
27,"jul_20"
33,"jul_20"
21,"jul_20"
22,"jul_20"
21,"jul_20"
21,"jul_20"
24,"jul_20"
22,"jul_20"
24,"jul_20"
30,"jul_20"
36,"jul_20"
29,"jul_20"
22,"jul_20"
31,"jul_20"
30,"jul_20"
26,"jul_20"
31,"jul_20"
35,"jul_20"
30,"jul_20"
28,"jul_20"
21,"jul_20"
19,"jul_20"
25,"jul_20"
31,"jul_20"
27,"jul_20"
30,"jul_20"
26,"jul_20"
30,"jul_20"
26,"jul_20"
23,"jul_20"
24,"jul_20"
25,"jul_20"
29,"jul_20"
23,"jul_20"
24,"jul_20"
22,"jul_20"
21,"jul_20"
22,"jul_20"
22,"jul_20"
23,"jul_20"
33,"jul_20"
32,"jul_20"
25,"jul_20"
20,"jul_20"
27,"jul_20"
31,"jul_20"
27,"jul_20"
30,"jul_20"
32,"jul_20"
27,"jul_20"
22,"jul_20"
19,"jul_20"
18,"jul_20"
21,"jul_20"
28,"jul_20"
23,"jul_20"
27,"jul_20"
22,"jul_20"
26,"jul_20"
24,"jul_20"
15,"jul_20"
22,"jul_20"
21,"jul_20"
24,"jul_20"
20,"jul_20"
20,"jul_20"
21,"jul_20"
17,"jul_20"
20,"jul_20"
21,"jul_20"
21,"jul_20"
29,"jul_20"
30,"jul_20"
21,"jul_20"
20,"jul_20"
24,"jul_20"
29,"jul_20"
27,"jul_20"
27,"jul_20"
35,"jul_20"
21,"jul_20"
17,"jul_20"
13,"jul_20"
14,"jul_20"
15,"jul_20"
18,"jul_20"
19,"jul_20"
20,"jul_20"
19,"jul_20"
21,"jul_20"
19,"jul_20"
13,"jul_20"
16,"jul_20"
15,"jul_20"
17,"jul_20"
15,"jul_20"
14,"jul_20"
16,"jul_20"
14,"jul_20"
12,"jul_20"
14,"jul_20"
16,"jul_20"
21,"jul_20"
23,"jul_20"
18,"jul_20"
15,"jul_20"
19,"jul_20"
22,"jul_20"
21,"jul_20"
22,"jul_20"
24,"jul_20"
25,"jul_20"
17,"jul_20"
19,"jul_20"
15,"jul_20"
18,"jul_20"
25,"jul_20"
18,"jul_20"
22,"jul_20"
18,"jul_20"
23,"jul_20"
22,"jul_20"
10,"jul_20"
20,"jul_20"
19,"jul_20"
18,"jul_20"
16,"jul_20"
16,"jul_20"
18,"jul_20"
15,"jul_20"
17,"jul_20"
18,"jul_20"
17,"jul_20"
26,"jul_20"
28,"jul_20"
20,"jul_20"
17,"jul_20"
19,"jul_20"
29,"jul_20"
20,"jul_20"
28,"jul_20"
NA,"jul_20"
20,"jul_20"
16,"jul_20"
6,"jul_20"
13,"jul_20"
16,"jul_20"
20,"jul_20"
18,"jul_20"
19,"jul_20"
18,"jul_20"
20,"jul_20"
19,"jul_20"
14,"jul_20"
17,"jul_20"
16,"jul_20"
17,"jul_20"
14,"jul_20"
14,"jul_20"
16,"jul_20"
13,"jul_20"
15,"jul_20"
15,"jul_20"
15,"jul_20"
19,"jul_20"
22,"jul_20"
18,"jul_20"
17,"jul_20"
16,"jul_20"
25,"jul_20"
19,"jul_20"
21,"jul_20"
21,"jul_20"
