"pm10","month"
17,"jun_20"
19,"jun_20"
21,"jun_20"
17,"jun_20"
16,"jun_20"
19,"jun_20"
12,"jun_20"
11,"jun_20"
12,"jun_20"
13,"jun_20"
18,"jun_20"
31,"jun_20"
20,"jun_20"
22,"jun_20"
27,"jun_20"
16,"jun_20"
17,"jun_20"
13,"jun_20"
14,"jun_20"
21,"jun_20"
23,"jun_20"
23,"jun_20"
42,"jun_20"
516,"jun_20"
22,"jun_20"
25,"jun_20"
29,"jun_20"
41,"jun_20"
33,"jun_20"
27,"jun_20"
19,"jun_20"
20,"jun_20"
23,"jun_20"
19,"jun_20"
21,"jun_20"
23,"jun_20"
13,"jun_20"
15,"jun_20"
16,"jun_20"
17,"jun_20"
22,"jun_20"
30,"jun_20"
18,"jun_20"
18,"jun_20"
26,"jun_20"
16,"jun_20"
18,"jun_20"
14,"jun_20"
17,"jun_20"
20,"jun_20"
24,"jun_20"
27,"jun_20"
35,"jun_20"
53,"jun_20"
23,"jun_20"
27,"jun_20"
29,"jun_20"
37,"jun_20"
34,"jun_20"
24,"jun_20"
15,"jun_20"
19,"jun_20"
20,"jun_20"
16,"jun_20"
20,"jun_20"
20,"jun_20"
11,"jun_20"
13,"jun_20"
16,"jun_20"
16,"jun_20"
20,"jun_20"
28,"jun_20"
14,"jun_20"
14,"jun_20"
21,"jun_20"
16,"jun_20"
16,"jun_20"
13,"jun_20"
16,"jun_20"
19,"jun_20"
21,"jun_20"
25,"jun_20"
24,"jun_20"
35,"jun_20"
18,"jun_20"
22,"jun_20"
25,"jun_20"
30,"jun_20"
27,"jun_20"
20,"jun_20"
11,"jun_20"
13,"jun_20"
14,"jun_20"
11,"jun_20"
10,"jun_20"
14,"jun_20"
8,"jun_20"
6,"jun_20"
8,"jun_20"
8,"jun_20"
13,"jun_20"
16,"jun_20"
9,"jun_20"
9,"jun_20"
14,"jun_20"
8,"jun_20"
10,"jun_20"
8,"jun_20"
9,"jun_20"
12,"jun_20"
16,"jun_20"
17,"jun_20"
16,"jun_20"
41,"jun_20"
15,"jun_20"
16,"jun_20"
20,"jun_20"
25,"jun_20"
22,"jun_20"
14,"jun_20"
14,"jun_20"
14,"jun_20"
15,"jun_20"
11,"jun_20"
15,"jun_20"
17,"jun_20"
10,"jun_20"
8,"jun_20"
10,"jun_20"
11,"jun_20"
17,"jun_20"
19,"jun_20"
12,"jun_20"
14,"jun_20"
17,"jun_20"
10,"jun_20"
12,"jun_20"
9,"jun_20"
11,"jun_20"
16,"jun_20"
17,"jun_20"
18,"jun_20"
17,"jun_20"
29,"jun_20"
16,"jun_20"
15,"jun_20"
22,"jun_20"
28,"jun_20"
22,"jun_20"
16,"jun_20"
11,"jun_20"
9,"jun_20"
13,"jun_20"
9,"jun_20"
12,"jun_20"
14,"jun_20"
9,"jun_20"
8,"jun_20"
8,"jun_20"
10,"jun_20"
13,"jun_20"
15,"jun_20"
12,"jun_20"
12,"jun_20"
16,"jun_20"
8,"jun_20"
10,"jun_20"
9,"jun_20"
10,"jun_20"
14,"jun_20"
17,"jun_20"
17,"jun_20"
15,"jun_20"
14,"jun_20"
14,"jun_20"
15,"jun_20"
21,"jun_20"
25,"jun_20"
22,"jun_20"
16,"jun_20"
