"pm10","month"
34,"mar_20"
23,"mar_20"
21,"mar_20"
27,"mar_20"
31,"mar_20"
19,"mar_20"
18,"mar_20"
22,"mar_20"
29,"mar_20"
34,"mar_20"
35,"mar_20"
38,"mar_20"
29,"mar_20"
25,"mar_20"
24,"mar_20"
26,"mar_20"
31,"mar_20"
24,"mar_20"
23,"mar_20"
20,"mar_20"
23,"mar_20"
29,"mar_20"
23,"mar_20"
30,"mar_20"
19,"mar_20"
17,"mar_20"
17,"mar_20"
18,"mar_20"
19,"mar_20"
18,"mar_20"
16,"mar_20"
35,"mar_20"
27,"mar_20"
17,"mar_20"
26,"mar_20"
31,"mar_20"
19,"mar_20"
15,"mar_20"
17,"mar_20"
24,"mar_20"
27,"mar_20"
36,"mar_20"
38,"mar_20"
27,"mar_20"
24,"mar_20"
19,"mar_20"
23,"mar_20"
29,"mar_20"
26,"mar_20"
22,"mar_20"
16,"mar_20"
21,"mar_20"
27,"mar_20"
22,"mar_20"
28,"mar_20"
16,"mar_20"
13,"mar_20"
15,"mar_20"
15,"mar_20"
18,"mar_20"
18,"mar_20"
14,"mar_20"
32,"mar_20"
36,"mar_20"
18,"mar_20"
27,"mar_20"
26,"mar_20"
20,"mar_20"
16,"mar_20"
15,"mar_20"
23,"mar_20"
25,"mar_20"
33,"mar_20"
38,"mar_20"
27,"mar_20"
21,"mar_20"
15,"mar_20"
23,"mar_20"
30,"mar_20"
24,"mar_20"
22,"mar_20"
16,"mar_20"
22,"mar_20"
28,"mar_20"
22,"mar_20"
29,"mar_20"
16,"mar_20"
13,"mar_20"
17,"mar_20"
15,"mar_20"
18,"mar_20"
18,"mar_20"
14,"mar_20"
30,"mar_20"
15,"mar_20"
10,"mar_20"
16,"mar_20"
12,"mar_20"
9,"mar_20"
8,"mar_20"
11,"mar_20"
16,"mar_20"
21,"mar_20"
31,"mar_20"
32,"mar_20"
25,"mar_20"
19,"mar_20"
14,"mar_20"
18,"mar_20"
24,"mar_20"
18,"mar_20"
18,"mar_20"
13,"mar_20"
17,"mar_20"
25,"mar_20"
18,"mar_20"
23,"mar_20"
12,"mar_20"
10,"mar_20"
12,"mar_20"
12,"mar_20"
13,"mar_20"
15,"mar_20"
9,"mar_20"
26,"mar_20"
20,"mar_20"
11,"mar_20"
19,"mar_20"
19,"mar_20"
15,"mar_20"
11,"mar_20"
10,"mar_20"
16,"mar_20"
19,"mar_20"
28,"mar_20"
26,"mar_20"
19,"mar_20"
17,"mar_20"
13,"mar_20"
20,"mar_20"
23,"mar_20"
20,"mar_20"
18,"mar_20"
14,"mar_20"
19,"mar_20"
25,"mar_20"
19,"mar_20"
20,"mar_20"
12,"mar_20"
8,"mar_20"
11,"mar_20"
12,"mar_20"
13,"mar_20"
15,"mar_20"
11,"mar_20"
24,"mar_20"
13,"mar_20"
8,"mar_20"
15,"mar_20"
12,"mar_20"
8,"mar_20"
8,"mar_20"
10,"mar_20"
13,"mar_20"
17,"mar_20"
26,"mar_20"
21,"mar_20"
19,"mar_20"
18,"mar_20"
13,"mar_20"
10,"mar_20"
18,"mar_20"
14,"mar_20"
19,"mar_20"
13,"mar_20"
17,"mar_20"
22,"mar_20"
17,"mar_20"
19,"mar_20"
11,"mar_20"
10,"mar_20"
12,"mar_20"
13,"mar_20"
13,"mar_20"
14,"mar_20"
11,"mar_20"
