"pm10","month"
15,"may_20"
14,"may_20"
12,"may_20"
21,"may_20"
20,"may_20"
25,"may_20"
18,"may_20"
18,"may_20"
22,"may_20"
26,"may_20"
17,"may_20"
14,"may_20"
13,"may_20"
16,"may_20"
14,"may_20"
11,"may_20"
15,"may_20"
24,"may_20"
23,"may_20"
25,"may_20"
34,"may_20"
31,"may_20"
22,"may_20"
21,"may_20"
28,"may_20"
29,"may_20"
22,"may_20"
21,"may_20"
27,"may_20"
16,"may_20"
17,"may_20"
16,"may_20"
14,"may_20"
14,"may_20"
23,"may_20"
23,"may_20"
28,"may_20"
20,"may_20"
20,"may_20"
26,"may_20"
27,"may_20"
15,"may_20"
13,"may_20"
17,"may_20"
17,"may_20"
15,"may_20"
11,"may_20"
15,"may_20"
26,"may_20"
27,"may_20"
35,"may_20"
40,"may_20"
32,"may_20"
22,"may_20"
23,"may_20"
31,"may_20"
31,"may_20"
27,"may_20"
26,"may_20"
30,"may_20"
18,"may_20"
16,"may_20"
14,"may_20"
14,"may_20"
11,"may_20"
19,"may_20"
21,"may_20"
24,"may_20"
19,"may_20"
18,"may_20"
24,"may_20"
25,"may_20"
14,"may_20"
13,"may_20"
16,"may_20"
20,"may_20"
19,"may_20"
10,"may_20"
13,"may_20"
21,"may_20"
26,"may_20"
36,"may_20"
33,"may_20"
27,"may_20"
19,"may_20"
18,"may_20"
25,"may_20"
26,"may_20"
22,"may_20"
18,"may_20"
22,"may_20"
16,"may_20"
12,"may_20"
7,"may_20"
9,"may_20"
7,"may_20"
14,"may_20"
17,"may_20"
21,"may_20"
11,"may_20"
13,"may_20"
17,"may_20"
20,"may_20"
7,"may_20"
9,"may_20"
11,"may_20"
10,"may_20"
8,"may_20"
7,"may_20"
9,"may_20"
16,"may_20"
17,"may_20"
19,"may_20"
19,"may_20"
19,"may_20"
13,"may_20"
14,"may_20"
18,"may_20"
19,"may_20"
16,"may_20"
15,"may_20"
17,"may_20"
11,"may_20"
8,"may_20"
9,"may_20"
10,"may_20"
9,"may_20"
14,"may_20"
16,"may_20"
18,"may_20"
15,"may_20"
14,"may_20"
20,"may_20"
21,"may_20"
12,"may_20"
12,"may_20"
12,"may_20"
13,"may_20"
11,"may_20"
9,"may_20"
12,"may_20"
19,"may_20"
20,"may_20"
26,"may_20"
28,"may_20"
20,"may_20"
15,"may_20"
15,"may_20"
22,"may_20"
18,"may_20"
16,"may_20"
15,"may_20"
18,"may_20"
12,"may_20"
9,"may_20"
10,"may_20"
10,"may_20"
9,"may_20"
11,"may_20"
15,"may_20"
18,"may_20"
13,"may_20"
14,"may_20"
17,"may_20"
8,"may_20"
10,"may_20"
10,"may_20"
4,"may_20"
9,"may_20"
10,"may_20"
8,"may_20"
12,"may_20"
17,"may_20"
17,"may_20"
18,"may_20"
15,"may_20"
16,"may_20"
13,"may_20"
15,"may_20"
18,"may_20"
17,"may_20"
16,"may_20"
12,"may_20"
16,"may_20"
12,"may_20"
10,"may_20"
