"pm10","month"
31,"nov_20"
36,"nov_20"
27,"nov_20"
15,"nov_20"
20,"nov_20"
20,"nov_20"
36,"nov_20"
19,"nov_20"
31,"nov_20"
30,"nov_20"
27,"nov_20"
35,"nov_20"
38,"nov_20"
25,"nov_20"
28,"nov_20"
26,"nov_20"
33,"nov_20"
41,"nov_20"
44,"nov_20"
30,"nov_20"
32,"nov_20"
42,"nov_20"
48,"nov_20"
42,"nov_20"
24,"nov_20"
23,"nov_20"
30,"nov_20"
32,"nov_20"
29,"nov_20"
14,"nov_20"
21,"nov_20"
20,"nov_20"
34,"nov_20"
15,"nov_20"
31,"nov_20"
28,"nov_20"
23,"nov_20"
23,"nov_20"
37,"nov_20"
18,"nov_20"
NA,"nov_20"
32,"nov_20"
30,"nov_20"
32,"nov_20"
33,"nov_20"
28,"nov_20"
29,"nov_20"
31,"nov_20"
34,"nov_20"
40,"nov_20"
25,"nov_20"
22,"nov_20"
26,"nov_20"
27,"nov_20"
26,"nov_20"
11,"nov_20"
20,"nov_20"
19,"nov_20"
32,"nov_20"
13,"nov_20"
26,"nov_20"
21,"nov_20"
19,"nov_20"
21,"nov_20"
30,"nov_20"
21,"nov_20"
23,"nov_20"
22,"nov_20"
28,"nov_20"
29,"nov_20"
34,"nov_20"
25,"nov_20"
26,"nov_20"
28,"nov_20"
25,"nov_20"
30,"nov_20"
20,"nov_20"
20,"nov_20"
22,"nov_20"
22,"nov_20"
20,"nov_20"
7,"nov_20"
13,"nov_20"
12,"nov_20"
25,"nov_20"
7,"nov_20"
17,"nov_20"
17,"nov_20"
14,"nov_20"
13,"nov_20"
20,"nov_20"
17,"nov_20"
14,"nov_20"
15,"nov_20"
18,"nov_20"
21,"nov_20"
19,"nov_20"
19,"nov_20"
20,"nov_20"
19,"nov_20"
19,"nov_20"
18,"nov_20"
16,"nov_20"
13,"nov_20"
19,"nov_20"
21,"nov_20"
20,"nov_20"
7,"nov_20"
15,"nov_20"
15,"nov_20"
26,"nov_20"
8,"nov_20"
18,"nov_20"
18,"nov_20"
14,"nov_20"
14,"nov_20"
18,"nov_20"
16,"nov_20"
17,"nov_20"
18,"nov_20"
21,"nov_20"
22,"nov_20"
21,"nov_20"
16,"nov_20"
19,"nov_20"
20,"nov_20"
18,"nov_20"
20,"nov_20"
16,"nov_20"
15,"nov_20"
19,"nov_20"
17,"nov_20"
15,"nov_20"
5,"nov_20"
11,"nov_20"
11,"nov_20"
17,"nov_20"
6,"nov_20"
9,"nov_20"
15,"nov_20"
11,"nov_20"
12,"nov_20"
14,"nov_20"
15,"nov_20"
16,"nov_20"
15,"nov_20"
20,"nov_20"
16,"nov_20"
16,"nov_20"
14,"nov_20"
16,"nov_20"
16,"nov_20"
14,"nov_20"
13,"nov_20"
11,"nov_20"
10,"nov_20"
