"pm10","month"
29,"oct_20"
17,"oct_20"
15,"oct_20"
15,"oct_20"
18,"oct_20"
35,"oct_20"
28,"oct_20"
28,"oct_20"
35,"oct_20"
20,"oct_20"
10,"oct_20"
10,"oct_20"
17,"oct_20"
12,"oct_20"
14,"oct_20"
19,"oct_20"
22,"oct_20"
21,"oct_20"
29,"oct_20"
27,"oct_20"
84,"oct_20"
81,"oct_20"
33,"oct_20"
19,"oct_20"
18,"oct_20"
17,"oct_20"
30,"oct_20"
37,"oct_20"
41,"oct_20"
44,"oct_20"
32,"oct_20"
26,"oct_20"
14,"oct_20"
12,"oct_20"
11,"oct_20"
14,"oct_20"
26,"oct_20"
27,"oct_20"
27,"oct_20"
33,"oct_20"
22,"oct_20"
10,"oct_20"
10,"oct_20"
17,"oct_20"
13,"oct_20"
14,"oct_20"
17,"oct_20"
23,"oct_20"
23,"oct_20"
32,"oct_20"
30,"oct_20"
85,"oct_20"
81,"oct_20"
29,"oct_20"
15,"oct_20"
18,"oct_20"
16,"oct_20"
20,"oct_20"
29,"oct_20"
32,"oct_20"
33,"oct_20"
33,"oct_20"
23,"oct_20"
16,"oct_20"
14,"oct_20"
11,"oct_20"
16,"oct_20"
21,"oct_20"
24,"oct_20"
27,"oct_20"
28,"oct_20"
19,"oct_20"
9,"oct_20"
8,"oct_20"
16,"oct_20"
12,"oct_20"
14,"oct_20"
16,"oct_20"
21,"oct_20"
19,"oct_20"
23,"oct_20"
26,"oct_20"
88,"oct_20"
76,"oct_20"
26,"oct_20"
14,"oct_20"
15,"oct_20"
15,"oct_20"
18,"oct_20"
25,"oct_20"
21,"oct_20"
31,"oct_20"
30,"oct_20"
16,"oct_20"
10,"oct_20"
7,"oct_20"
6,"oct_20"
8,"oct_20"
13,"oct_20"
14,"oct_20"
24,"oct_20"
35,"oct_20"
30,"oct_20"
4,"oct_20"
4,"oct_20"
9,"oct_20"
9,"oct_20"
5,"oct_20"
8,"oct_20"
12,"oct_20"
13,"oct_20"
13,"oct_20"
16,"oct_20"
71,"oct_20"
66,"oct_20"
22,"oct_20"
8,"oct_20"
11,"oct_20"
8,"oct_20"
12,"oct_20"
17,"oct_20"
15,"oct_20"
23,"oct_20"
24,"oct_20"
18,"oct_20"
10,"oct_20"
9,"oct_20"
8,"oct_20"
11,"oct_20"
16,"oct_20"
16,"oct_20"
22,"oct_20"
23,"oct_20"
15,"oct_20"
7,"oct_20"
7,"oct_20"
12,"oct_20"
8,"oct_20"
9,"oct_20"
10,"oct_20"
15,"oct_20"
15,"oct_20"
16,"oct_20"
18,"oct_20"
68,"oct_20"
56,"oct_20"
17,"oct_20"
11,"oct_20"
11,"oct_20"
9,"oct_20"
11,"oct_20"
19,"oct_20"
12,"oct_20"
20,"oct_20"
22,"oct_20"
15,"oct_20"
9,"oct_20"
9,"oct_20"
8,"oct_20"
9,"oct_20"
11,"oct_20"
15,"oct_20"
18,"oct_20"
18,"oct_20"
12,"oct_20"
NA,"oct_20"
NA,"oct_20"
7,"oct_20"
7,"oct_20"
8,"oct_20"
10,"oct_20"
17,"oct_20"
15,"oct_20"
11,"oct_20"
14,"oct_20"
48,"oct_20"
51,"oct_20"
21,"oct_20"
9,"oct_20"
9,"oct_20"
9,"oct_20"
10,"oct_20"
14,"oct_20"
13,"oct_20"
19,"oct_20"
21,"oct_20"
