"pm10","month"
17,"sep_20"
21,"sep_20"
23,"sep_20"
24,"sep_20"
21,"sep_20"
23,"sep_20"
16,"sep_20"
19,"sep_20"
19,"sep_20"
17,"sep_20"
18,"sep_20"
NA,"sep_20"
23,"sep_20"
30,"sep_20"
28,"sep_20"
35,"sep_20"
44,"sep_20"
38,"sep_20"
27,"sep_20"
12,"sep_20"
18,"sep_20"
19,"sep_20"
26,"sep_20"
25,"sep_20"
31,"sep_20"
13,"sep_20"
12,"sep_20"
24,"sep_20"
26,"sep_20"
28,"sep_20"
19,"sep_20"
18,"sep_20"
22,"sep_20"
24,"sep_20"
18,"sep_20"
22,"sep_20"
16,"sep_20"
19,"sep_20"
20,"sep_20"
17,"sep_20"
17,"sep_20"
NA,"sep_20"
24,"sep_20"
32,"sep_20"
25,"sep_20"
35,"sep_20"
42,"sep_20"
34,"sep_20"
24,"sep_20"
10,"sep_20"
17,"sep_20"
16,"sep_20"
21,"sep_20"
18,"sep_20"
27,"sep_20"
11,"sep_20"
11,"sep_20"
21,"sep_20"
22,"sep_20"
26,"sep_20"
17,"sep_20"
17,"sep_20"
19,"sep_20"
22,"sep_20"
14,"sep_20"
19,"sep_20"
17,"sep_20"
17,"sep_20"
19,"sep_20"
16,"sep_20"
17,"sep_20"
NA,"sep_20"
24,"sep_20"
30,"sep_20"
25,"sep_20"
33,"sep_20"
42,"sep_20"
31,"sep_20"
23,"sep_20"
9,"sep_20"
16,"sep_20"
17,"sep_20"
20,"sep_20"
17,"sep_20"
32,"sep_20"
13,"sep_20"
12,"sep_20"
22,"sep_20"
24,"sep_20"
25,"sep_20"
11,"sep_20"
11,"sep_20"
13,"sep_20"
18,"sep_20"
12,"sep_20"
15,"sep_20"
12,"sep_20"
10,"sep_20"
10,"sep_20"
10,"sep_20"
10,"sep_20"
NA,"sep_20"
13,"sep_20"
21,"sep_20"
18,"sep_20"
26,"sep_20"
31,"sep_20"
25,"sep_20"
19,"sep_20"
9,"sep_20"
9,"sep_20"
11,"sep_20"
14,"sep_20"
9,"sep_20"
21,"sep_20"
6,"sep_20"
NA,"sep_20"
19,"sep_20"
16,"sep_20"
17,"sep_20"
14,"sep_20"
11,"sep_20"
13,"sep_20"
15,"sep_20"
11,"sep_20"
17,"sep_20"
12,"sep_20"
11,"sep_20"
14,"sep_20"
11,"sep_20"
13,"sep_20"
NA,"sep_20"
17,"sep_20"
25,"sep_20"
19,"sep_20"
27,"sep_20"
31,"sep_20"
27,"sep_20"
17,"sep_20"
7,"sep_20"
16,"sep_20"
10,"sep_20"
15,"sep_20"
13,"sep_20"
22,"sep_20"
9,"sep_20"
10,"sep_20"
18,"sep_20"
17,"sep_20"
20,"sep_20"
7,"sep_20"
9,"sep_20"
11,"sep_20"
13,"sep_20"
10,"sep_20"
14,"sep_20"
12,"sep_20"
3,"sep_20"
8,"sep_20"
9,"sep_20"
12,"sep_20"
NA,"sep_20"
15,"sep_20"
20,"sep_20"
18,"sep_20"
26,"sep_20"
28,"sep_20"
26,"sep_20"
15,"sep_20"
7,"sep_20"
10,"sep_20"
9,"sep_20"
13,"sep_20"
11,"sep_20"
21,"sep_20"
6,"sep_20"
8,"sep_20"
13,"sep_20"
14,"sep_20"
14,"sep_20"
