"pm10","month"
28,"x"
33,"x"
24,"x"
13,"x"
18,"x"
18,"x"
33,"x"
17,"x"
28,"x"
27,"x"
25,"x"
32,"x"
35,"x"
23,"x"
25,"x"
23,"x"
31,"x"
37,"x"
41,"x"
27,"x"
29,"x"
38,"x"
45,"x"
38,"x"
22,"x"
21,"x"
28,"x"
29,"x"
26,"x"
12,"x"
19,"x"
18,"x"
31,"x"
14,"x"
28,"x"
25,"x"
20,"x"
21,"x"
34,"x"
16,"x"
NA,"x"
29,"x"
28,"x"
29,"x"
30,"x"
26,"x"
27,"x"
28,"x"
31,"x"
37,"x"
23,"x"
20,"x"
23,"x"
24,"x"
23,"x"
10,"x"
17,"x"
17,"x"
29,"x"
11,"x"
24,"x"
19,"x"
17,"x"
19,"x"
27,"x"
19,"x"
20,"x"
20,"x"
26,"x"
27,"x"
31,"x"
23,"x"
24,"x"
25,"x"
23,"x"
27,"x"
18,"x"
18,"x"
20,"x"
20,"x"
18,"x"
6,"x"
11,"x"
11,"x"
23,"x"
6,"x"
15,"x"
15,"x"
12,"x"
12,"x"
18,"x"
15,"x"
12,"x"
14,"x"
16,"x"
19,"x"
17,"x"
17,"x"
18,"x"
17,"x"
17,"x"
16,"x"
14,"x"
11,"x"
17,"x"
19,"x"
18,"x"
6,"x"
13,"x"
13,"x"
24,"x"
6,"x"
16,"x"
16,"x"
13,"x"
12,"x"
16,"x"
14,"x"
15,"x"
16,"x"
19,"x"
20,"x"
19,"x"
14,"x"
17,"x"
18,"x"
16,"x"
18,"x"
14,"x"
14,"x"
17,"x"
15,"x"
14,"x"
3,"x"
9,"x"
9,"x"
15,"x"
4,"x"
8,"x"
13,"x"
9,"x"
11,"x"
12,"x"
13,"x"
15,"x"
14,"x"
18,"x"
14,"x"
14,"x"
12,"x"
14,"x"
14,"x"
12,"x"
11,"x"
9,"x"
9,"x"
