year_month,o3,no2,pm10,max_o3,max_no2,max_pm10,o3_limit,no2_limit,pm10_limit,o3_ave,no2_ave,pm10_ave
2018_06,62,40,29,134,197,113,120,40,50,55,37,24
2018_07,66,35,28,351,127,47,120,40,50,55,37,24
2018_08,68,34,24,197,169,52,120,40,50,55,37,24
2018_09,61,37,23,135,156,52,120,40,50,55,37,24
2018_10,50,38,24,114,125,74,120,40,50,55,37,24
2018_11,42,39,19,100,117,44,120,40,50,55,37,24
2018_12,34,39,19,453,143,49,120,40,50,55,37,24
2019_01,41,38,19,230,173,52,120,40,50,48,34,24
2019_02,37,44,,57,76,,120,40,50,48,34,24
2019_03,,,,,,,120,40,50,48,34,24
2019_04,68,30,24,137,137,209,120,40,50,48,34,24
2019_05,54,33,23,120,155,200,120,40,50,48,34,24
2019_06,59,35,33,229,233,564,120,40,50,48,34,24
2019_07,53,36,34,131,137,330,120,40,50,48,34,24
2019_08,59,27,24,148,134,118,120,40,50,48,34,24
2019_09,53,32,23,136,172,126,120,40,50,48,34,24
2019_10,37,37,25,107,216,267,120,40,50,48,34,24
2019_11,35,32,15,95,160,123,120,40,50,48,34,24
2019_12,34,31,23,88,112,195,120,40,50,48,34,24
2020_01,34,36,22,92,145,330,120,40,50,53,24,19
2020_02,41,35,26,109,132,132,120,40,50,53,24,19
2020_03,62,20,19,132,137,129,120,40,50,53,24,19
2020_04,72,14,14,133,88,152,120,40,50,53,24,19
2020_05,64,16,17,138,122,86,120,40,50,53,24,19
2020_06,59,17,17,121,110,516,120,40,50,53,24,19
2020_07,62,21,21,148,105,111,120,40,50,53,24,19
2020_08,58,16,21,142,118,81,120,40,50,53,24,19
2020_09,58,26,18,136,123,93,120,40,50,53,24,19
2020_10,46,26,20,122,112,157,120,40,50,53,24,19
2020_11,37,31,21,103,131,98,120,40,50,53,24,19
2020_12,37,26,14,92,130,114,120,40,50,53,24,19
2021_01,41,24,13,87,110,80,120,40,50,55,24,22
2021_02,46,26,29,106,127,247,120,40,50,55,24,22
2021_03,57,25,25,119,114,99,120,40,50,55,24,22
2021_04,74,21,19,134,96,95,120,40,50,55,24,22
