pm10,month,pm10_40,pm10_60
57,1,53,52
25,2,23,23
17,3,15,15
31,4,28,28
10,5,8,8
12,6,10,10
23,7,21,20
17,8,16,15
16,9,15,14
16,10,15,14
27,11,25,24
27,12,25,24
26,13,24,24
26,14,24,23
23,15,22,21
19,16,17,17
25,17,23,23
37,18,35,34
34,19,32,32
36,20,34,33
52,21,49,48
53,22,50,49
37,23,35,34
37,24,35,34
24,25,23,22
24,26,22,22
20,27,18,18
42,28,40,39
36,29,34,33
39,30,36,36
26,31,24,23
17,32,15,15
28,33,26,26
12,34,11,11
17,35,16,15
23,36,22,21
31,37,29,29
20,38,19,18
15,39,14,13
40,40,38,37
28,41,26,25
27,42,25,25
25,43,23,22
24,44,22,22
21,45,20,19
27,46,25,25
37,47,35,34
29,48,27,26
32,49,30,30
50,50,47,46
39,51,37,36
32,52,30,30
31,53,29,29
22,54,20,20
24,55,22,21
22,56,20,20
36,57,33,33
33,58,31,30
32,59,30,29
21,60,19,19
14,61,13,12
25,62,23,22
11,63,9,9
12,64,11,11
18,65,16,16
17,66,15,15
15,67,13,13
15,68,13,13
21,69,19,19
23,70,21,21
23,71,21,21
24,72,22,21
22,73,20,20
19,74,17,17
21,75,19,19
28,76,26,26
25,77,23,22
28,78,26,26
43,79,40,39
34,80,32,31
25,81,23,22
32,82,30,29
20,83,18,18
22,84,20,19
20,85,18,18
32,86,30,29
23,87,21,21
34,88,32,31
21,89,19,19
11,90,10,9
29,91,27,26
13,92,11,11
16,93,14,14
19,94,17,17
27,95,25,24
13,96,12,12
19,97,18,17
35,98,33,32
32,99,29,29
30,100,28,28
28,101,26,26
23,102,21,21
24,103,22,22
22,104,20,20
27,105,25,24
19,106,17,17
26,107,24,23
36,108,33,33
36,109,34,33
20,110,18,18
31,111,29,28
26,112,25,24
26,113,24,23
39,114,37,36
48,115,45,44
48,116,45,44
29,117,27,27
15,118,14,13
8,119,7,7
20,120,18,18
9,121,8,8
9,122,8,8
14,123,13,12
14,124,13,12
11,125,9,9
13,126,11,11
18,127,17,16
20,128,18,18
20,129,19,18
19,130,18,17
18,131,17,16
16,132,15,14
15,133,13,13
22,134,21,20
19,135,18,17
23,136,21,21
37,137,35,34
36,138,34,33
20,139,18,18
25,140,23,22
15,141,13,13
18,142,16,16
16,143,14,14
26,144,24,23
20,145,18,17
34,146,32,31
36,147,34,33
18,148,16,16
15,149,13,13
21,150,19,19
32,151,30,29
29,152,27,27
27,153,25,25
25,154,24,23
46,155,43,42
48,156,45,44
37,157,35,34
55,158,52,51
19,159,17,17
13,160,11,11
11,161,10,10
16,162,15,14
29,163,27,26
36,164,34,33
37,165,35,34
22,166,20,20
15,167,14,13
18,168,16,16
18,169,17,16
21,170,19,19
28,171,26,26
34,172,31,31
40,173,37,37
26,174,24,24
35,175,32,32
17,176,15,15
13,177,12,12
18,178,17,16
28,179,26,25
32,180,30,29
26,181,24,24
20,182,18,18
28,183,26,25
42,184,40,39
36,185,34,33
33,186,31,30
20,187,18,18
13,188,12,11
11,189,10,10
18,190,17,16
31,191,28,28
24,192,22,21
32,193,29,29
20,194,18,18
17,195,15,15
17,196,15,15
19,197,18,17
21,198,19,18
23,199,21,21
26,200,25,24
29,201,27,26
18,202,17,16
25,203,23,23
16,204,14,14
13,205,11,11
15,206,14,14
26,207,24,24
30,208,28,28
21,209,20,19
17,210,16,15
24,211,22,22
30,212,28,28
24,213,22,21
24,214,22,21
18,215,16,16
16,216,14,14
9,217,8,8
16,218,15,14
29,219,27,26
24,220,22,22
25,221,23,22
15,222,14,13
14,223,12,12
15,224,14,13
42,225,39,38
5,226,3,3
19,227,17,17
24,228,22,22
28,229,26,25
34,230,32,31
31,231,29,28
28,232,26,26
25,233,23,23
18,234,16,16
33,235,30,30
34,236,31,31
27,237,25,25
22,238,20,20
35,239,33,32
46,240,43,42
27,241,25,24
47,242,44,43
21,243,19,19
18,244,16,16
10,245,9,8
16,246,14,14
23,247,21,20
49,248,46,45
47,249,45,44
14,250,12,12
12,251,11,11
16,252,14,14
18,253,16,16
23,254,21,21
28,255,26,26
25,256,23,23
43,257,40,40
17,258,15,15
25,259,23,23
15,260,14,13
11,261,10,9
13,262,12,12
21,263,19,18
25,264,23,23
18,265,17,16
15,266,13,13
18,267,16,16
26,268,24,23
23,269,21,20
24,270,22,22
13,271,11,11
8,272,6,6
7,273,6,6
11,274,9,9
17,275,15,15
20,276,18,18
19,277,17,17
13,278,11,11
10,279,9,8
10,280,9,9
12,281,10,10
15,282,13,13
19,283,18,17
18,284,16,16
21,285,19,19
36,286,34,33
35,287,32,32
54,288,51,50
49,289,47,46
80,290,76,74
26,291,24,23
86,292,81,80
23,293,21,21
33,294,31,30
58,295,55,54
15,296,13,13
56,297,53,52
49,298,46,45
32,299,30,29
35,300,33,32
44,301,41,41
60,302,56,55
62,303,59,57
34,304,32,31
33,305,31,30
52,306,49,48
75,307,72,70
57,308,53,52
41,309,39,38
25,310,23,23
22,311,21,20
31,312,29,29
27,313,25,24
28,314,26,26
28,315,26,26
39,316,37,36
24,317,22,22
33,318,31,31
36,319,34,33
16,320,15,14
15,321,13,13
19,322,17,17
40,323,38,37
35,324,33,32
23,325,21,20
38,326,35,35
33,327,31,30
34,328,32,31
28,329,26,26
19,330,18,17
26,331,24,24
41,332,38,38
93,333,89,87
39,334,37,36
34,335,31,31
44,336,42,41
65,337,61,60
59,338,56,55
42,339,40,39
18,340,16,16
14,341,13,12
25,342,23,22
23,343,21,21
26,344,24,24
28,345,26,26
33,346,30,30
18,347,16,16
30,348,28,27
29,349,27,27
15,350,13,13
14,351,13,12
18,352,16,16
41,353,38,37
34,354,32,31
19,355,18,17
33,356,30,30
25,357,23,22
32,358,30,29
29,359,27,26
18,360,17,16
19,361,17,17
25,362,23,23
42,363,39,38
32,364,30,29
27,365,25,25
33,366,31,30
55,367,52,51
57,368,54,53
39,369,37,36
23,370,22,21
21,371,19,19
44,372,41,40
48,373,45,45
58,374,55,54
28,375,26,26
51,376,48,47
20,377,18,18
27,378,25,24
37,379,34,34
17,380,15,15
16,381,15,15
18,382,17,16
43,383,41,40
41,384,38,38
27,385,25,24
38,386,35,34
33,387,30,30
29,388,27,26
33,389,30,30
21,390,19,18
38,391,36,35
35,392,33,32
77,393,73,71
39,394,37,36
26,395,24,24
32,396,30,30
72,397,68,67
49,398,46,45
52,399,49,48
16,400,15,14
15,401,14,14
21,402,19,18
16,403,15,14
21,404,19,19
21,405,19,19
26,406,24,24
18,407,16,16
23,408,21,20
25,409,24,23
12,410,11,10
10,411,8,8
15,412,13,13
32,413,30,29
30,414,28,27
18,415,17,16
26,416,24,24
22,417,20,20
25,418,23,22
21,419,19,19
22,420,20,19
18,421,17,16
20,422,18,18
15,423,14,14
26,424,24,24
21,425,19,19
27,426,25,25
53,427,50,49
41,428,38,37
36,429,34,33
41,430,39,38
42,431,39,38
46,432,44,43
43,433,40,39
46,434,43,42
61,435,57,56
47,436,44,43
40,437,37,37
31,438,29,28
36,439,33,33
49,440,46,45
38,441,35,34
33,442,30,30
24,443,22,21
29,444,26,26
39,445,36,36
29,446,27,26
24,447,23,22
25,448,23,22
25,449,23,23
NA,450,NA,NA
29,451,27,26
36,452,33,33
27,453,25,24
28,454,26,25
26,455,24,23
31,456,29,28
34,457,32,32
43,458,40,39
42,459,40,39
36,460,34,33
39,461,37,36
54,462,51,50
65,463,62,60
42,464,39,38
34,465,32,31
28,466,26,25
42,467,39,38
29,468,27,26
27,469,25,24
23,470,21,20
26,471,24,23
24,472,23,22
24,473,22,22
25,474,23,23
26,475,24,23
23,476,21,21
NA,477,NA,NA
35,478,33,32
38,479,36,35
27,480,25,25
32,481,30,30
26,482,24,23
33,483,31,30
41,484,39,38
36,485,34,33
37,486,34,34
32,487,30,30
24,488,22,21
50,489,47,46
46,490,43,42
39,491,36,36
30,492,27,27
24,493,22,22
36,494,34,33
26,495,24,23
20,496,18,18
19,497,17,17
26,498,24,24
27,499,25,25
27,500,25,24
27,501,25,25
34,502,31,31
22,503,20,20
NA,504,NA,NA
33,505,31,30
41,506,39,38
25,507,23,23
31,508,29,28
22,509,20,20
29,510,27,26
58,511,55,54
34,512,32,31
41,513,38,37
34,514,31,31
54,515,51,50
59,516,56,55
62,517,59,57
35,518,32,32
21,519,19,19
23,520,21,21
42,521,40,39
35,522,32,32
23,523,21,21
21,524,19,19
27,525,25,25
28,526,26,25
34,527,32,31
29,528,27,27
70,529,66,65
513,530,493,483
NA,531,NA,NA
76,532,72,70
48,533,45,44
49,534,46,45
59,535,56,55
22,536,20,19
30,537,28,28
37,538,35,34
26,539,24,24
32,540,30,29
30,541,28,27
32,542,30,29
43,543,40,40
42,544,40,39
34,545,31,31
24,546,22,21
23,547,21,20
35,548,33,32
21,549,19,19
19,550,17,17
17,551,15,15
21,552,19,19
24,553,22,22
20,554,18,18
19,555,18,17
19,556,17,17
19,557,17,17
NA,558,NA,NA
29,559,27,26
30,560,28,28
22,561,21,20
25,562,23,23
19,563,17,17
26,564,24,23
27,565,24,24
37,566,34,34
32,567,29,29
30,568,27,27
34,569,31,31
27,570,24,24
28,571,26,26
53,572,49,49
46,573,42,42
33,574,30,30
30,575,27,27
19,576,17,17
21,577,19,19
25,578,23,23
29,579,26,26
19,580,17,17
22,581,20,20
26,582,24,24
22,583,19,19
19,584,17,17
22,585,20,20
30,586,27,27
24,587,22,22
32,588,29,29
30,589,28,28
34,590,31,31
23,591,21,21
25,592,23,23
28,593,26,26
28,594,25,25
27,595,25,25
30,596,27,27
28,597,26,26
24,598,21,21
22,599,20,20
32,600,29,29
25,601,22,22
32,602,29,29
47,603,43,43
41,604,38,38
33,605,30,30
26,606,24,24
20,607,18,18
20,608,18,18
24,609,21,21
25,610,23,23
20,611,18,18
19,612,17,17
23,613,21,21
22,614,20,20
20,615,18,18
19,616,17,17
23,617,21,21
24,618,21,21
34,619,31,31
23,620,21,21
33,621,30,30
26,622,24,24
27,623,25,25
26,624,23,23
30,625,28,28
25,626,22,22
25,627,22,22
26,628,24,24
21,629,18,18
20,630,17,17
26,631,24,24
22,632,20,20
28,633,26,26
40,634,37,37
35,635,32,32
27,636,24,24
22,637,20,20
18,638,16,16
19,639,17,17
23,640,20,20
25,641,23,23
18,642,16,16
19,643,17,17
22,644,19,19
19,645,17,17
19,646,17,17
19,647,17,17
20,648,18,18
28,649,25,25
28,650,25,25
19,651,17,17
30,652,27,27
24,653,22,22
25,654,22,22
26,655,23,23
28,656,26,26
24,657,22,22
21,658,19,19
27,659,24,24
22,660,20,20
23,661,20,20
28,662,25,25
21,663,19,19
31,664,28,28
44,665,40,40
32,666,29,29
29,667,26,26
21,668,19,19
16,669,14,14
17,670,15,15
19,671,17,17
20,672,18,18
14,673,12,12
18,674,16,16
20,675,18,18
19,676,17,17
14,677,12,12
19,678,17,17
16,679,14,14
17,680,15,15
24,681,22,22
18,682,16,16
24,683,22,22
19,684,17,17
21,685,19,19
21,686,19,19
20,687,18,18
20,688,18,18
20,689,18,18
21,690,18,18
18,691,16,16
18,692,16,16
23,693,21,21
20,694,18,18
27,695,24,24
38,696,35,35
31,697,28,28
27,698,24,24
22,699,20,20
14,700,13,13
16,701,14,14
19,702,17,17
20,703,18,18
16,704,14,14
18,705,16,16
19,706,17,17
17,707,15,15
16,708,14,14
14,709,12,12
17,710,15,15
19,711,17,17
24,712,22,22
19,713,17,17
25,714,22,22
21,715,19,19
22,716,20,20
21,717,19,19
25,718,23,23
21,719,19,19
22,720,20,19
20,721,18,18
19,722,17,17
26,723,24,23
28,724,26,26
22,725,20,20
25,726,23,23
22,727,20,20
16,728,14,14
13,729,11,11
17,730,15,15
27,731,25,24
30,732,28,27
24,733,22,22
25,734,23,22
32,735,30,29
42,736,39,38
44,737,42,41
30,738,28,28
31,739,29,28
25,740,23,22
18,741,17,16
28,742,26,26
21,743,19,19
22,744,21,20
36,745,34,33
22,746,20,20
31,747,28,28
35,748,33,32
22,749,20,20
22,750,20,20
21,751,19,19
31,752,29,28
27,753,25,25
25,754,23,23
22,755,20,20
20,756,18,18
20,757,18,18
16,758,14,14
17,759,15,15
34,760,31,31
31,761,29,28
26,762,24,24
27,763,25,24
33,764,31,30
46,765,43,42
45,766,43,42
30,767,28,27
34,768,31,31
24,769,22,22
20,770,18,18
25,771,23,23
28,772,26,25
29,773,27,27
38,774,36,35
26,775,24,23
29,776,27,27
32,777,30,29
21,778,19,19
22,779,21,20
22,780,20,20
28,781,26,25
27,782,25,25
23,783,21,21
22,784,20,19
18,785,16,16
18,786,17,16
12,787,11,11
12,788,11,11
28,789,26,25
29,790,27,26
21,791,20,19
22,792,20,20
27,793,25,24
42,794,40,39
51,795,48,47
35,796,33,32
28,797,26,26
21,798,19,19
19,799,17,17
25,800,23,22
23,801,21,20
25,802,23,23
28,803,26,25
17,804,16,15
23,805,21,21
23,806,21,21
16,807,14,14
17,808,15,15
18,809,17,16
21,810,19,18
23,811,22,21
19,812,17,17
17,813,15,15
14,814,12,12
16,815,14,14
9,816,8,8
10,817,8,8
17,818,15,15
21,819,19,19
19,820,17,17
20,821,19,18
21,822,19,19
32,823,30,30
33,824,31,31
23,825,21,21
22,826,20,19
17,827,15,15
12,828,11,10
20,829,18,18
20,830,18,18
20,831,18,18
23,832,21,21
15,833,13,13
22,834,20,20
20,835,18,17
17,836,16,15
16,837,15,14
18,838,16,16
22,839,20,20
22,840,20,20
19,841,17,17
19,842,17,17
16,843,14,14
15,844,13,13
6,845,4,4
10,846,9,9
21,847,19,19
20,848,18,18
16,849,15,14
20,850,18,18
22,851,20,20
38,852,35,34
31,853,29,28
25,854,23,23
24,855,22,21
19,856,18,17
14,857,12,12
22,858,20,19
18,859,16,16
23,860,21,21
27,861,25,25
16,862,14,14
22,863,21,20
25,864,23,22
40,865,37,36
32,866,30,30
37,867,35,34
40,868,37,36
34,869,32,31
27,870,25,24
55,871,52,51
55,872,52,51
36,873,34,33
25,874,23,22
42,875,40,39
26,876,24,24
25,877,23,22
34,878,32,31
14,879,12,12
32,880,29,29
40,881,38,37
37,882,35,34
34,883,31,31
27,884,25,24
16,885,15,14
19,886,18,17
25,887,23,23
23,888,21,21
23,889,21,20
21,890,19,19
27,891,25,24
34,892,31,31
36,893,34,33
42,894,40,39
33,895,31,30
34,896,32,31
27,897,25,25
24,898,23,22
34,899,32,31
28,900,26,25
28,901,26,25
33,902,31,30
35,903,33,32
28,904,26,26
24,905,22,22
37,906,35,34
26,907,24,23
26,908,24,23
38,909,35,34
16,910,14,14
22,911,20,20
35,912,32,32
27,913,25,24
38,914,36,35
23,915,22,21
21,916,20,19
21,917,19,19
21,918,19,19
22,919,20,19
22,920,20,19
27,921,25,24
28,922,26,25
29,923,27,26
34,924,32,31
42,925,39,39
29,926,27,27
29,927,27,26
22,928,21,20
19,929,17,17
22,930,21,20
23,931,21,20
23,932,21,21
27,933,25,25
31,934,29,28
25,935,23,22
21,936,19,19
34,937,31,31
22,938,20,20
24,939,23,22
36,940,34,33
13,941,12,11
20,942,18,18
30,943,28,27
23,944,21,21
31,945,29,28
22,946,20,20
19,947,18,17
19,948,18,17
16,949,15,15
18,950,16,16
20,951,18,18
20,952,19,18
24,953,22,21
25,954,23,22
32,955,30,29
37,956,34,34
26,957,24,24
26,958,24,24
17,959,16,15
15,960,13,13
17,961,16,15
19,962,17,17
19,963,17,17
23,964,21,21
27,965,25,24
20,966,18,18
16,967,15,14
28,968,26,26
17,969,15,15
20,970,18,18
33,971,30,30
13,972,11,11
10,973,9,9
20,974,18,18
15,975,14,13
23,976,21,21
19,977,17,17
14,978,13,12
12,979,11,10
12,980,10,10
12,981,11,11
14,982,13,13
16,983,14,14
19,984,17,17
19,985,18,17
28,986,26,25
26,987,24,24
18,988,16,16
40,989,38,37
25,990,24,23
21,991,19,19
29,992,27,27
21,993,19,18
20,994,18,18
24,995,23,22
22,996,21,20
19,997,18,17
NA,998,NA,NA
NA,999,NA,NA
NA,1000,NA,NA
NA,1001,NA,NA
NA,1002,NA,NA
NA,1003,NA,NA
NA,1004,NA,NA
NA,1005,NA,NA
NA,1006,NA,NA
NA,1007,NA,NA
NA,1008,NA,NA
